station,date,PL,EPF,VSF,CF_data,AERSI,confidence,city,state,latitude,longitude
"Park Street Wakad, Pimpri Chinchwad - MPCB",2026-09-09,0.9373,1.0,1.1471,0.97,1.0019,High,Pimpri-Chinchwad,Maharashtra,18.59051,73.77946
"Paryavaran Parisar, Bhopal - MPPCB",2026-09-09,1.0932,1.0,1.1697,0.98,1.0874,High,Bhopal,Madhya Pradesh,23.210494,77.425409
"Patia, Bhubaneswar - OSPCB",2026-09-09,0.9817,1.0,1.2168,0.99,1.0406,High,Bhubaneswar,Odisha,20.34652,85.8163
"Patparganj, Delhi - DPCC",2026-09-09,1.3193,1.483,1.2466,0.98,1.3394,High,Delhi,Delhi,28.623763,77.287209
"Patti Mehar, Ambala - HSPCB",2026-09-09,1.5783,1.8137,1.2597,0.99,1.5446,High,Ambala,Haryana,30.379589,76.778328
"Peenya, Bengaluru - CPCB",2026-09-09,0.9966,1.3,1.6514,1.0,1.2084,High,Bengaluru,Karnataka,13.0270199,77.494094
"Perungudi, Chennai - TNPCB",2026-09-09,1.1827,1.4407,1.591,0.99,1.3381,High,Chennai,Tamil Nadu,12.9533,80.2357
"Phase-1 GIDC, Vapi - GPCB",2026-09-09,0.9953,1.0,1.1224,0.97,1.0268,High,Vapi,Gujarat,20.362421,72.918013
"Phase-4 GIDC, Vatva - GPCB",2026-09-09,1.8772,1.9667,1.8211,1.0,1.8848,High,Vatva,Gujarat,22.969611,72.6435
"Pimpleshwar Mandir, Kalyan - MPCB",2026-09-09,1.1428,1.0,1.1856,0.98,1.1155,High,Kalyan,Maharashtra,19.192056,72.9585188
"Plammoodu, Thiruvananthapuram - Kerala PCB",2026-09-09,0.8066,1.0333,1.1107,1.0,0.9296,High,Thiruvananthapuram,Kerala,8.5149093,76.9435879
"Police Commissionerate, Jaipur - RSPCB",2026-09-09,1.572,1.4485,1.2379,0.98,1.4509,High,Jaipur,Rajasthan,26.9164092,75.7994901
"Police Line, Saharsa - BSPCB",2026-09-09,1.0685,1.1432,1.4533,0.96,1.1736,High,Saharsa,Bihar,25.892357,86.590325
"Police Lines, Jind - HSPCB",2026-09-09,1.6053,1.6781,1.4654,0.99,1.5866,High,Jind,Haryana,29.307814,76.337619
"Powai, Mumbai - MPCB",2026-09-09,0.9082,1.0,1.0739,0.7,0.9701,Medium,Mumbai,Maharashtra,19.1375,72.915056
"Prabhat Colony, Jalgaon - MPCB",2026-09-09,0.9559,1.0,1.1762,1.0,1.0182,High,Jalgaon,Maharashtra,21.001264,75.565602
"Pragati Nagar, Pratapgarh - RSPCB",2026-09-09,1.1987,1.0333,1.1867,1.0,1.1521,High,Pratapgarh,Rajasthan,24.041198,74.780702
"Prashant Garden, Khora - UPPCB",2026-09-09,1.8495,1.8944,1.5563,0.94,1.782,High,Khora,Uttar Pradesh,28.61119,77.34206
"Pratap Nagar, Bhilwara - RSPCB",2026-09-09,1.4052,1.345,1.2036,0.98,1.3371,High,Bhilwara,Rajasthan,25.339605,74.618883
"Priyambada Housing Estate, Haldia - WBPCB",2026-09-09,1.0561,1.0339,1.2569,0.99,1.0972,High,Haldia,West Bengal,22.06047,88.109737
"Punjab Agricultural University, Ludhiana - PPCB",2026-08-24,1.7216,1.5185,1.8518,0.85,1.6991,High,Ludhiana,Punjab,30.9028,75.8086
"Punjabi Bagh, Delhi - DPCC",2026-09-09,1.6293,1.7591,1.4182,0.98,1.6042,High,Delhi,Delhi,28.674045,77.131023
"Pusa, Delhi - DPCC",2026-09-09,1.424,1.7,1.2872,1.0,1.4514,High,Delhi,Delhi,28.639652,77.146275
"Pusa, Delhi - IITM",2026-09-09,1.6219,1.2811,1.2587,0.87,1.4351,High,Delhi,Delhi,28.63611,77.173332
"R K Puram, Delhi - DPCC",2026-09-09,1.7792,1.8033,1.6621,0.95,1.7551,High,Delhi,Delhi,28.563262,77.186937
"RIICO Ind. Area III, Bhiwadi - RSPCB",2026-09-09,1.8267,1.9,1.8296,1.0,1.8455,High,Bhiwadi,Rajasthan,28.194909,76.862296
"RIICO Sitapura, Jaipur - RSPCB",2026-09-09,1.5249,1.4919,1.2753,0.97,1.4503,High,Jaipur,Rajasthan,26.786682,75.827928
"RIMT University, Mandi Gobindgarh - PPCB",2026-09-09,1.8191,1.773,1.6888,0.97,1.7742,High,Mandi Gobindgarh,Punjab,30.649961,76.331442
"Rabindra Bharati University, Kolkata - WBPCB",2026-09-09,1.277,1.2333,1.3927,1.0,1.2937,High,Kolkata,West Bengal,22.627847,88.380669
"Rabindra Sarobar, Kolkata - WBPCB",2026-09-09,0.952,1.0,1.2231,1.0,1.0261,High,Kolkata,West Bengal,22.51106,88.35142
"Rachnakar Colony, Aurangabad - MPCB",2026-09-09,1.1025,1.0333,1.1307,1.0,1.0917,High,Aurangabad,Maharashtra,19.863756,75.321188
"Radhakishan Pura, Sikar - RSPCB",2026-09-09,1.404,1.5667,1.1602,1.0,1.3758,High,Sikar,Rajasthan,27.608912,75.153302
"Raghunathpali, Rourkela - OSPCB",2026-09-09,1.0188,1.207,1.2879,0.98,1.1271,High,Rourkela,Odisha,22.220833,84.809444
"Raikhad, Ahmedabad - IITM",2026-09-09,1.1313,1.0333,1.2091,1.0,1.1245,High,Ahmedabad,Gujarat,23.020509,72.579261
"Railway Colony, Barmer - RSPCB",2026-09-09,0.994,1.0339,1.1216,0.99,1.0346,High,Barmer,Rajasthan,25.747299,71.393989
"Railway Colony, Guwahati - PCBA",2026-09-09,1.0392,1.069,1.4067,0.98,1.1289,High,Guwahati,Assam,26.181742,91.78063
"Raja Ganj, Dholpur - RSPCB",2026-09-09,0.9876,1.0389,1.1107,0.92,1.03,High,Dholpur,Rajasthan,26.699557,77.898881
"Rajanpur, Gajraula - UPPCB",2026-09-09,1.3484,1.3729,1.8059,0.99,1.4571,High,Gajraula,Uttar Pradesh,28.829109,78.248796
"Rajbagh, Srinagar - JKPCC",2026-09-09,0.9102,1.0,1.0739,0.97,0.9712,High,Srinagar,Jammu and Kashmir,34.066206,74.81982
"Rajbansi Nagar, Patna - BSPCB",2026-09-09,1.1068,1.0,1.1416,0.9,1.0874,High,Patna,Bihar,25.599486,85.113666
"Rajendra Nagar North, Guntur - APPCB",2026-09-09,1.4052,1.1,1.1498,1.0,1.2571,High,Guntur,Andhra Pradesh,16.316553,80.413302
"Rajendra Nagar, Bareilly - UPPCB",2026-09-09,1.2003,1.0761,1.1599,0.93,1.158,High,Bareilly,Uttar Pradesh,28.38910936,79.42963708
"Rajiv Gandhi Park, Vijayawada - APPCB",2026-09-09,1.447,1.2712,1.1856,0.99,1.3328,High,Vijayawada,Andhra Pradesh,16.509717,80.612222
"Rajiv Nagar, Vijayawada - APPCB",2026-09-09,1.3951,1.276,1.2226,0.98,1.32,High,Vijayawada,Andhra Pradesh,16.554731,80.64911
"Rajlaxmi Nagar, Jhalawar - RSPCB",2026-09-09,1.2412,1.0339,1.2306,0.99,1.1833,High,Jhalawar,Rajasthan,24.588397,76.172782
"Rakhial, Ahmedabad - IITM",2026-09-09,1.4554,1.3729,1.3796,0.99,1.4153,High,Ahmedabad,Gujarat,23.016834,72.625775
"Ram Nagar, Nagpur - MPCB",2026-09-09,1.1497,1.0667,1.2655,1.0,1.1557,High,Nagpur,Maharashtra,21.143383,79.048912
"Rama Rao Peta, Kakinada - APPCB",2026-09-09,1.1554,1.0,1.1052,0.91,1.1021,High,Kakinada,Andhra Pradesh,16.962488,82.229513
"Ramachandrapuram, Hyderabad - TSPCB",2026-09-09,1.1549,1.0,1.1464,1.0,1.112,High,Hyderabad,Telangana,17.528544,78.286195
"Ramdaspeth, Akola - MPCB",2026-09-09,1.035,1.0,1.1122,0.99,1.0447,High,Akola,Maharashtra,20.719516,77.000253
"Rampur, Korba - CECB",2026-09-09,0.7561,1.0,1.0877,0.93,0.888,High,Korba,Chhattisgarh,22.368195,82.746431
"Ramteerth Nagar, Belgaum - KSPCB",2026-09-01,0.8267,1.0,1.2295,0.83,0.9574,Medium,Belgaum,Karnataka,15.888653,74.541751
"Ratandeep Housing Society, Solapur - MPCB",2026-09-09,1.061,1.0,1.1491,1.0,1.0665,High,Solapur,Maharashtra,17.65439,75.90649
"Ratanpura, Rupnagar - Ambuja Cements",2026-09-09,1.1351,1.0,1.097,0.85,1.0904,High,Rupnagar,Punjab,31.0325454,76.5623046
"Rati Talai, Banswara - RSPCB",2026-09-09,1.1344,1.0,1.0666,0.99,1.0824,High,Banswara,Rajasthan,23.55519,74.44001
"Regional Park, Indore - IMC",2026-09-09,0.8553,1.0,1.0139,0.98,0.928,High,Indore,Madhya Pradesh,22.678,75.8559
"Residency Area, Indore - IMC",2026-09-09,0.9431,1.0,1.2917,1.0,1.0353,High,Indore,Madhya Pradesh,22.7084,75.8815
"Revenue Colony-Shivajinagar, Pune - IITM",2026-09-09,1.0853,1.0,1.107,0.95,1.0686,High,Pune,Maharashtra,18.530085,73.849598
"Rishi Nagar, Kaithal - HSPCB",2026-09-09,1.6581,1.773,1.5718,0.97,1.6637,High,Kaithal,Haryana,29.8006,76.4155
"Rohini, Delhi - DPCC",2026-09-09,1.6821,2.0,1.7745,1.0,1.7801,High,Delhi,Delhi,28.732528,77.11992
"Rohta, Agra - UPPCB",2026-09-09,1.1297,1.0,1.2019,0.99,1.1129,High,Agra,Uttar Pradesh,27.106972,78.000111
"Royapuram, Chennai - TNPCB",2026-09-09,1.2297,1.0333,1.0375,1.0,1.1284,High,Chennai,Tamil Nadu,13.1036,80.2909
"SAC ISRO Bopal, Ahmedabad - IITM",2026-09-09,1.2533,1.0861,1.2917,0.88,1.2184,High,Ahmedabad,Gujarat,23.041137,72.456691
"SAC ISRO Satellite, Ahmedabad - IITM",2026-09-09,1.2856,1.2,1.2889,1.0,1.2644,High,Ahmedabad,Gujarat,23.023389,72.515201
"SDM Office_Khagra, Kishanganj - BSPCB",2026-09-09,1.213,1.0365,1.1122,0.95,1.1412,High,Kishanganj,Bihar,26.0881305,87.93840336
"SFTI Kusdihra, Gaya - BSPCB",2026-09-09,0.9999,1.0,1.1224,1.0,1.0292,High,Gaya,Bihar,24.762518,84.982348
"SIDCO Kurichi, Coimbatore - TNPCB",2026-09-09,0.6972,1.0,1.0,0.83,0.835,Medium,Coimbatore,Tamil Nadu,10.942451,76.978996
"SRM University, Modinagar - UPPCB",2026-09-09,1.5081,1.571,1.2945,0.93,1.4665,High,Modinagar,Uttar Pradesh,28.798171,77.540243
"SVPI Airport Hansol, Ahmedabad - IITM",2026-09-09,1.1857,1.2811,1.2463,0.97,1.224,High,Ahmedabad,Gujarat,23.076793,72.627874
"SVSPA Campus, Barrackpore - WBPCB",2026-09-09,1.1114,1.0678,1.2306,0.99,1.1287,High,Barrackpore,West Bengal,22.7605581,88.3617589
"Sadanand Nagar, Mehsana - Nexteng Enviro",2026-09-09,1.1314,1.0678,1.1491,0.99,1.1195,High,Mehsana,Gujarat,23.59315,72.372792
"Sadar Bazar, Jaisalmer - RSPCB",2026-09-09,1.1943,1.3333,1.257,1.0,1.2434,High,Jaisalmer,Rajasthan,26.912329,70.909168
"Sahilara, Maihar - KJS Cements",2026-09-08,1.0948,1.0,1.0793,0.78,1.0665,Medium,Maihar,Madhya Pradesh,24.2613009,80.7231783
"Sahu Nagar, Sawai Madhopur - RSPCB",2026-09-09,1.2238,1.1356,1.1325,0.99,1.1781,High,Sawai Madhopur,Rajasthan,26.031443,76.359327
"Samanpura, Patna - BSPCB",2026-09-08,1.7678,1.8398,1.8784,0.95,1.8128,High,Patna,Bihar,25.596727,85.085624
"Samrat Ashok Udhyan, Jodhpur - RSPCB",2026-09-09,0.9998,1.0333,1.1107,1.0,1.0349,High,Jodhpur,Rajasthan,26.253384,72.976571
"Sanathnagar, Hyderabad - TSPCB",2026-09-09,1.0435,1.0,1.0449,0.89,1.0328,High,Hyderabad,Telangana,17.4559458,78.4332152
"Sanegurava Halli, Bengaluru - KSPCB",2026-08-14,0.8643,1.0,1.0222,0.55,0.9348,Low,Bengaluru,Karnataka,12.990328,77.5431385
"Sanjay Nagar, Ghaziabad - UPPCB",2026-09-09,1.37,1.3729,1.5132,0.99,1.4052,High,Ghaziabad,Uttar Pradesh,28.685382,77.453839
"Sanjay Palace, Agra - UPPCB",2026-09-09,1.1927,1.2333,1.457,1.0,1.2644,High,Agra,Uttar Pradesh,27.19865833,78.00598056
